id,name,level
ES-C,A Coruña,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andalusien,
ES-AS,Asturien,autonomous community
ES-BA,Badajoz,province
ES-IB,Balearerna,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Cádiz,province
ES-S,Kantabrien,province
ES-CM,Kastilien-La Mancha,autonomous community
ES-CL,Kastilien och León,autonomous community
ES-CT,Katalonien,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CO,Córdoba,province
ES-EX,Extremadura,autonomous community
ES-GA,Galicia,autonomous community
ES-SS,Guipúzcoa,province
ES-GI,Girona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,Leon,province
ES-L,Lleida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-OR,Ourense,province
ES-P,Palencia,province
ES-PO,Pontevedra,province
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segovia,province
ES-SE,Sevilla,province
ES-T,Tarragona,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Valencia,province
ES-VC,Valencia,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Zaragoza,province
ES-VI,Álava,province
ES-AV,Avila,province
