id,name,level
RO-BC,Bacău,county
RO-BN,Bistrița-Năsăud,county
RO-BT,Botoșani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,Bukarest,city
RO-BZ,Buzău,county
RO-CS,Caraș-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-DJ,Dolj,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Gorj,county
RO-HR,Harghita,county
RO-IS,Iași,county
RO-IF,Ilfov,county
RO-MM,Maramureş,county
RO-MH,Mehedinţi,county
RO-MS,Mureș,county
RO-NT,Neamț,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Teleorman,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VL,Vâlcea,county
